City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Berlevag,NO,2021-10-19 20:46:42,70.8578,29.0864,28.4,62,99,7.92
1,Cockburn Town,TC,2021-10-19 20:44:45,21.4612,-71.1419,82.36,78,75,6.91
2,Upernavik,GL,2021-10-19 20:46:42,72.7868,-56.1549,34.25,77,100,18.48
3,Hobart,AU,2021-10-19 20:45:02,-42.8794,147.3294,42.06,84,20,3.0
4,Vaini,TO,2021-10-19 20:46:43,-21.2,-175.2,77.16,78,40,8.05
5,Victoria,HK,2021-10-19 20:45:22,22.2855,114.1577,79.32,80,98,1.99
6,Khorixas,NA,2021-10-19 20:46:44,-20.3667,14.9667,64.83,36,68,3.96
7,Puerto Madero,MX,2021-10-19 20:46:44,14.7208,-92.4215,80.87,77,100,7.29
8,Busselton,AU,2021-10-19 20:46:44,-33.65,115.3333,54.09,63,100,20.42
9,Norman Wells,CA,2021-10-19 20:42:18,65.282,-126.8329,19.44,86,75,3.44
10,Asau,RO,2021-10-19 20:46:45,46.4333,26.4,45.52,88,68,5.21
11,Bathsheba,BB,2021-10-19 20:46:45,13.2167,-59.5167,74.01,100,40,16.11
12,Camacha,PT,2021-10-19 20:46:45,33.0833,-16.3333,73.53,83,20,8.05
13,Saldanha,ZA,2021-10-19 20:46:46,-33.0117,17.9442,64.45,62,0,10.69
14,Corrente,BR,2021-10-19 20:46:46,-3.7367,-43.3394,81.32,63,93,3.09
15,Esperance,AU,2021-10-19 20:46:46,-33.8667,121.9,60.64,69,74,32.06
16,Rikitea,PF,2021-10-19 20:46:47,-23.1203,-134.9692,75.04,74,0,20.58
17,Punta Arenas,CL,2021-10-19 20:46:47,-53.15,-70.9167,64.51,45,75,26.46
18,Barrow,US,2021-10-19 20:46:48,71.2906,-156.7887,23.02,74,90,19.57
19,Pagudpud,PH,2021-10-19 20:46:48,18.5616,120.7868,78.08,89,88,12.88
20,Hermanus,ZA,2021-10-19 20:43:31,-34.4187,19.2345,60.8,88,1,11.99
21,Chokurdakh,RU,2021-10-19 20:46:48,70.6333,147.9167,-10.95,97,97,6.38
22,Campobello Di Mazara,IT,2021-10-19 20:46:49,37.6358,12.7443,63.36,85,0,3.0
23,Castro,BR,2021-10-19 20:46:49,-24.7911,-50.0119,53.51,98,100,8.79
24,Srednekolymsk,RU,2021-10-19 20:46:49,67.45,153.6833,-7.55,99,59,5.88
25,Mataura,NZ,2021-10-19 20:46:50,-46.1927,168.8643,49.05,56,85,4.05
26,Albany,US,2021-10-19 20:45:09,42.6001,-73.9662,63.75,52,13,1.01
27,Tambopata,PE,2021-10-19 20:46:50,-12.7333,-69.1833,78.69,65,90,3.44
28,Jamestown,US,2021-10-19 20:45:58,42.097,-79.2353,67.32,51,1,17.27
29,Hay River,CA,2021-10-19 20:45:04,60.8156,-115.7999,44.58,42,75,10.36
30,Tabas,IR,2021-10-19 20:46:51,33.5959,56.9244,70.23,17,0,1.77
31,Kodiak,US,2021-10-19 20:42:10,57.79,-152.4072,45.91,71,90,3.44
32,Karasjok,NO,2021-10-19 20:45:04,69.4719,25.5112,21.31,95,21,3.29
33,Ushuaia,AR,2021-10-19 20:43:20,-54.8,-68.3,60.46,48,40,24.16
34,Ejido,VE,2021-10-19 20:46:52,8.5514,-71.2375,74.23,81,73,3.04
35,Los Llanos De Aridane,ES,2021-10-19 20:46:52,28.6585,-17.9182,71.35,33,0,8.05
36,Tautira,PF,2021-10-19 20:46:53,-17.7333,-149.15,86.02,77,99,15.32
37,Pokosnoye,RU,2021-10-19 20:46:53,55.5258,101.0536,35.26,82,100,3.71
38,At-Bashi,KG,2021-10-19 20:46:53,41.1702,75.8106,43.12,52,99,2.95
39,San Policarpo,PH,2021-10-19 20:46:54,12.1791,125.5072,80.94,80,95,4.16
40,Cape Town,ZA,2021-10-19 20:43:59,-33.9258,18.4232,64.81,58,0,9.22
41,Half Moon Bay,US,2021-10-19 20:46:08,37.4636,-122.4286,72.25,52,75,3.0
42,Sorong,ID,2021-10-19 20:46:54,-0.8833,131.25,78.85,83,100,4.54
43,Hambantota,LK,2021-10-19 20:46:55,6.1241,81.1185,79.25,77,97,11.27
44,Bredasdorp,ZA,2021-10-19 20:46:55,-34.5322,20.0403,60.28,94,13,7.9
45,Mersing,MY,2021-10-19 20:46:55,2.4312,103.8405,75.11,100,100,5.75
46,Nuuk,GL,2021-10-19 20:46:56,64.1835,-51.7216,36.21,55,2,1.14
47,Paamiut,GL,2021-10-19 20:46:56,61.994,-49.6678,38.73,60,0,4.07
48,Tasiilaq,GL,2021-10-19 20:46:56,65.6145,-37.6368,32.16,49,0,4.45
49,Mar Del Plata,AR,2021-10-19 20:46:57,-38.0023,-57.5575,64.42,72,0,11.5
50,Saint-Joseph,RE,2021-10-19 20:46:57,-21.3667,55.6167,71.98,76,44,6.89
51,Am Timan,TD,2021-10-19 20:46:57,11.0297,20.2827,80.19,62,64,5.32
52,Khatanga,RU,2021-10-19 20:46:58,71.9667,102.5,29.17,96,100,15.5
