City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
1,Port Elizabeth,ZA,67.1,scattered clouds,-33.918,25.5701,39 On Nile Guest House
2,Atuona,PF,78.01,scattered clouds,-9.8,-139.0333,Villa Enata
3,Ginir,ET,62.2,broken clouds,7.1333,40.7,Sura Dare Village
6,Bredasdorp,ZA,64.27,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
7,Vaini,TO,69.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
9,Klaksvik,FO,43.72,broken clouds,62.2266,-6.589,Airbnb rooms
10,Arraial Do Cabo,BR,69.3,clear sky,-22.9661,-42.0278,Pousada Porto Praia
11,Yellowknife,CA,37.42,clear sky,62.456,-114.3525,The Explorer Hotel
12,Marsala,IT,72.0,overcast clouds,37.7966,12.4352,Villa Favorita Hotel e Resort
13,Ushuaia,AR,49.66,scattered clouds,-54.8,-68.3,Albatros Hotel
14,Hasaki,JP,50.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
15,East London,ZA,66.31,broken clouds,-33.0153,27.9116,Tu Casa
17,Saint George,US,71.55,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
18,Punta Arenas,CL,48.11,overcast clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
19,Bandarbeyla,SO,79.18,clear sky,9.4942,50.8122,JABIR HOTEL
20,Vardo,NO,33.78,light rain,70.3705,31.1107,Vardø Hotel AS
21,Rikitea,PF,73.89,light rain,-23.1203,-134.9692,People ThankYou
22,Mataura,NZ,43.97,overcast clouds,-46.1927,168.8643,Ellie's Villa
23,Lakshettipet,IN,72.1,clear sky,18.8667,79.2167,Nagula's Residency
24,Busselton,AU,50.09,clear sky,-33.65,115.3333,Observatory Guest House
26,Souillac,MU,75.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
27,Lukovetskiy,RU,31.98,snow,64.2956,41.9211,Gostinitsa
28,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
29,Tasiilaq,GL,35.76,overcast clouds,65.6145,-37.6368,The Red House
30,Cape Town,ZA,60.12,light rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
31,Inhambane,MZ,73.09,overcast clouds,-23.865,35.3833,Oceano
32,General Pico,AR,60.28,moderate rain,-35.6566,-63.7568,Euskadi Hotel
34,Saint Anthony,US,42.78,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
37,Mahebourg,MU,75.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
38,Sept-Iles,CA,47.05,overcast clouds,50.2001,-66.3821,Comfort Inn
39,Bluff,NZ,48.42,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
40,Ornskoldsvik,SE,33.62,light snow,63.2909,18.7153,ファーストホテル スタット
41,Castro,BR,72.9,clear sky,-24.7911,-50.0119,CHACARA BAILLY
42,Atasu,KZ,37.06,overcast clouds,48.6814,71.6433,Dostyk
43,Nambucca Heads,AU,69.8,few clouds,-30.65,153.0,Marcel Towers Holiday Apartments
45,Sitka,US,46.24,heavy intensity rain,57.0531,-135.33,Westmark Sitka
48,Hilo,US,72.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
49,Kapaa,US,73.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
51,Ilebo,CD,79.74,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
52,Katsuura,JP,55.51,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
53,Kaitangata,NZ,44.46,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
57,Victoria,HK,68.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
58,Vasterhaninge,SE,44.13,broken clouds,59.1167,18.1,Ros-Andersgård
60,Dalmatovo,RU,42.15,moderate rain,56.26,62.9362,"Gostinitsa I Obshchezhitiye ""Start-Prodservis"""
64,Virginia Beach,US,73.0,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
65,Morondava,MG,73.76,scattered clouds,-20.2833,44.2833,La Case Bambou
68,Kodiak,US,42.31,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
70,Jamestown,US,50.09,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
72,Belmonte,BR,79.3,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
73,Kieta,PG,77.14,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
75,Gonbad-E Qabus,IR,60.78,clear sky,37.25,55.1672,Samin Building
76,Dashitou,CN,30.88,clear sky,43.3067,128.5114,大林宾馆
77,Vao,NC,72.34,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
78,Port Alfred,ZA,65.08,broken clouds,-33.5906,26.891,The Halyards Hotel
82,Ancud,CL,52.65,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
83,Launceston,AU,57.15,light rain,-41.45,147.1667,Hotel Grand Chancellor Launceston
84,Mar Del Plata,AR,59.09,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
87,Cidreira,BR,71.78,clear sky,-30.1811,-50.2056,Hotel Castelo
88,Gumaus,PH,77.76,overcast clouds,14.3103,122.7229,BOLA PISO WIFI
89,Tura,IN,66.34,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
90,Airai,TL,63.0,broken clouds,-8.9266,125.4092,Juvinal Martin
91,Shelburne,CA,42.57,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
93,Raudeberg,NO,45.27,overcast clouds,61.9875,5.1352,Nordre Silda.
94,Nishihara,JP,72.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
99,Berlevag,NO,33.8,light shower snow,70.8578,29.0864,Kvitbrakka
100,Nanortalik,GL,38.89,moderate rain,60.1432,-45.2371,Hotel Kap Farvel
103,Calatayud,ES,68.58,few clouds,41.3535,-1.6432,Globales Castillo de Ayud
104,Lebu,CL,53.96,broken clouds,-37.6167,-73.65,Hostal Las Lilas
105,Rantepao,ID,65.82,broken clouds,-2.9701,119.8978,Hotel Luta Resort
106,Avarua,CK,69.85,scattered clouds,-21.2078,-159.775,Paradise Inn
108,Bambous Virieux,MU,75.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
109,Basco,PH,79.93,light rain,20.4487,121.9702,Nathaniel's Lodge
110,Imbituba,BR,78.69,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
111,Taltal,CL,62.13,clear sky,-25.4,-70.4833,Residencial Karime
112,Ushtobe,KZ,42.12,overcast clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
113,Huarmey,PE,69.87,scattered clouds,-10.0681,-78.1522,Hotel Miramar
114,Bethel,US,69.98,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
116,Roald,NO,45.34,broken clouds,62.5833,6.1333,Flem Cabins
117,Hobart,AU,58.12,light rain,-42.8794,147.3294,Mantra on Collins Hobart
118,Cross Lanes,US,55.89,overcast clouds,38.4204,-81.7907,Wyndham Garden Cross Lanes Charleston
121,Pitkyaranta,RU,39.38,light rain,61.5734,31.4792,Pitkyaranta hotel
122,Kalundborg,DK,48.13,broken clouds,55.6795,11.0886,Danhostel Kalundborg
124,Poum,NC,73.85,clear sky,-20.2333,164.0167,Gîte kajeon
125,Mweka,CD,78.75,broken clouds,-4.85,21.5667,Guest House Boshab
126,Kurgan,RU,42.91,overcast clouds,55.45,65.3333,Restoran Atrium
127,Carballo,ES,65.01,clear sky,43.213,-8.691,Pazo do Souto
129,Dawlatabad,AF,48.42,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
131,Itaguai,BR,78.48,scattered clouds,-22.8522,-43.7753,It Grande Hotel Itaguai
132,Lufilufi,WS,76.78,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
133,Codrington,AU,52.68,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
135,Miranda,CO,75.33,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
138,Bintulu,MY,75.51,overcast clouds,3.1667,113.0333,900 Boutique INN
140,Sioux Lookout,CA,35.98,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
142,Sao Joao Da Barra,BR,78.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
145,Lahan,NP,75.76,overcast clouds,26.7296,86.4951,Hotel Durbar Pvt. Ltd.
146,Ahipara,NZ,59.74,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
147,Krasnoselkup,RU,32.29,snow,65.7,82.4667,Krasnosel'kupnefteprodukt
148,Kruisfontein,ZA,64.89,few clouds,-34.0033,24.7314,Oyster Bay House Rental
150,Pinerovka,RU,56.62,broken clouds,51.562,43.0689,Гостиница на вокзале Балашов
152,Aberdeen,GB,45.21,scattered clouds,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
153,Comodoro Rivadavia,AR,66.06,clear sky,-45.8667,-67.5,Austral Hotel
154,Shache,CN,52.27,overcast clouds,38.4167,77.2406,Delong Hotel
155,Nemuro,JP,48.72,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
156,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
157,Pacifica,US,58.51,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
160,Coihaique,CL,53.96,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
161,Praia Da Vitoria,PT,72.75,broken clouds,38.7333,-27.0667,Hotel Branco I
162,Houlton,US,61.21,overcast clouds,46.1262,-67.8403,Ivey's Motor Lodge Houlton
163,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
165,Ararat,AM,52.14,clear sky,39.8317,44.7049,NORSED MOTEL/НОРСЕД МОТЕЛЬ/ՆՈՐՍԵԴ ՄՈԹԵԼ
166,Saldanha,ZA,61.23,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
167,Lagoa,PT,68.29,broken clouds,39.05,-27.9833,Casa Das Faias
168,Timmins,CA,32.94,overcast clouds,48.4669,-81.3331,The Senator Hotel & Conference Centre
169,Lompoc,US,62.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
171,Pisco,PE,67.01,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
173,Namuac,PH,78.94,scattered clouds,18.6109,121.1657,Mlin Hotel
174,Laranjeiras Do Sul,BR,75.7,light rain,-25.4078,-52.4161,Hotel Palmeiras
175,Hermanus,ZA,64.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
176,Flinders,AU,61.81,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
178,Chuy,UY,70.63,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
179,New Norfolk,AU,57.76,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
182,Poyarkovo,RU,35.89,few clouds,49.6,128.6833,Gostinitsa
183,Pleasanton,US,57.96,overcast clouds,37.6624,-121.8747,Four Points by Sheraton Pleasanton
185,Saint-Francois,FR,55.47,clear sky,46.4154,3.9054,Manoir Du Bonheur
186,Ladispoli,IT,71.13,broken clouds,41.9537,12.0735,Hotel Villa Margherita
188,Noyabrsk,RU,31.01,overcast clouds,63.1994,75.4507,Hotel Uyutnaya
189,Yulara,AU,76.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
190,Nevelsk,RU,35.89,few clouds,46.6733,141.8633,Gostinitsa Viktoriya
192,Muros,ES,70.23,clear sky,42.7762,-9.0603,Apartment Av. Castelao
196,Huadian,CN,35.98,clear sky,42.9633,126.7478,Huadian Forestry Bureau
197,Narsaq,GL,35.82,overcast clouds,60.9167,-46.05,Narsaq Kayak Hostel
198,Ukiah,US,56.01,mist,39.1502,-123.2078,Hampton Inn Ukiah
199,Chesley,CA,43.86,overcast clouds,44.2966,-81.0952,Cedar Rail Family Campground
200,Rio Gallegos,AR,48.92,overcast clouds,-51.6226,-69.2181,Hotel Santa Cruz
201,Ampanihy,MG,70.02,scattered clouds,-24.7,44.75,Angora Hotel
202,Torbay,CA,55.27,few clouds,47.6666,-52.7314,Gallows Cove
203,Hofu,JP,58.87,overcast clouds,34.05,131.5667,APA HOTEL YAMAGUCHI-HOFU
204,Richards Bay,ZA,76.23,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
205,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
206,Nikolskoye,RU,47.88,overcast clouds,59.7035,30.7861,Tourist House - Sablino
207,Soyo,AO,79.5,overcast clouds,-6.1349,12.3689,Hotel Mpampa
208,Emerald,AU,70.34,few clouds,-23.5333,148.1667,The Irish Village
211,Pinheiro Machado,BR,70.05,clear sky,-31.5783,-53.3811,Hotel e Restaurante Quitandinha
213,Naze,JP,64.9,broken clouds,28.3667,129.4833,オーベルジュ・アガルイ
214,Peniche,PT,71.74,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
216,Noumea,NC,69.78,clear sky,-22.2763,166.4572,Hôtel Le Lagon
218,Bengkulu,ID,76.66,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
219,Waingapu,ID,79.95,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
221,Asyut,EG,77.36,clear sky,27.181,31.1837,Florence Hotel Assiut
222,Stara Zagora,BG,63.05,few clouds,42.4328,25.6419,Hotel Vereya
223,Troitsko-Pechorsk,RU,41.38,overcast clouds,62.7084,56.1964,Pechora Gostinitsa
224,Los Llanos De Aridane,ES,71.35,broken clouds,28.6585,-17.9182,Valle Aridane
225,Guerrero Negro,MX,70.52,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
227,Sorland,NO,37.47,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
230,Luanda,AO,78.33,overcast clouds,-8.8368,13.2343,Hotel Fórum
231,Sibolga,ID,78.67,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
233,Haines Junction,CA,32.14,overcast clouds,60.7522,-137.5108,Parkside Inn
234,Benguela,AO,77.56,broken clouds,-12.5763,13.4055,Hotel Praia Morena
235,Alofi,NU,73.6,overcast clouds,-19.0595,-169.9187,Taloa Heights
236,Asind,IN,73.24,clear sky,25.7333,74.3333,"HOTEL JIYA PALACE, ASIND"
237,Kandrian,PG,77.0,overcast clouds,-6.2167,149.55,Kandrian Station
238,Grindavik,IS,43.27,heavy intensity rain,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
239,Portland,US,54.1,light rain,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
240,Nouadhibou,MR,70.83,clear sky,20.931,-17.0347,El Medina
241,Northam,GB,54.66,overcast clouds,51.0333,-4.2167,Durrant House Hotel
242,Marfil,MX,67.95,scattered clouds,21.0,-101.2833,Holiday Inn Express Guanajuato
243,Faya,SA,68.52,clear sky,18.3851,42.4509,املاك خالد الشعشوع
244,Namatanai,PG,77.72,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
245,Talcahuano,CL,58.68,scattered clouds,-36.7167,-73.1167,departamento comodo
248,Rach Gia,VN,76.95,broken clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
250,Dong Hoi,VN,68.31,overcast clouds,17.4833,106.6,Nam Long Hotel
252,Fort Nelson,CA,37.89,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
253,Tabou,CI,79.7,light rain,4.423,-7.3528,hotêl doufoulougou
255,Hibbing,US,37.58,overcast clouds,47.4272,-92.9377,Americas Best Value Inn Hibbing
256,Lingao,CN,66.54,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
257,Metro,ID,76.77,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
261,Alcaniz,ES,63.75,few clouds,41.05,-0.1333,Hotel Ciudad de Alcañiz
262,Mount Gambier,AU,51.12,overcast clouds,-37.8333,140.7667,The Commodore
263,Bardiyah,LY,69.67,clear sky,31.7561,25.0865,بورتو بردية
264,Altay,CN,39.9,broken clouds,47.8667,88.1167,Jinqiao Hotel
265,Paamiut,GL,35.82,overcast clouds,61.994,-49.6678,Hotel Ivaana
267,Ribeira Grande,PT,72.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
268,La Ronge,CA,32.22,broken clouds,55.1001,-105.2842,Northland Motor Hotel
269,Chipinge,ZW,75.92,broken clouds,-20.1883,32.6236,Chipinge Breeze Lodge
270,Tuatapere,NZ,47.48,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
273,Kupang,ID,79.54,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
275,Caravelas,BR,75.22,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
279,Najran,SA,74.68,few clouds,17.4924,44.1277,محمد هادي ال فطيح
280,Puerto Baquerizo Moreno,EC,70.2,broken clouds,-0.9,-89.6,Hotel los Algarrobos
282,General Roca,AR,68.63,broken clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
283,Kiama,AU,62.01,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
284,Ardahan,TR,44.94,clear sky,41.1087,42.7022,Kafkas Ari Hotel
285,Maniitsoq,GL,30.83,clear sky,65.4167,-52.9,Hotel Heilmann Lyberth
286,Hamilton,US,54.0,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
287,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
289,Asfi,MA,69.82,clear sky,32.2994,-9.2372,Hôtel Abda
290,Kenai,US,38.14,scattered clouds,60.5544,-151.2583,Aspen Extended Stay Suites
291,Elat,IL,79.27,clear sky,29.5581,34.9482,Club Hotel Eilat
292,Rocha,UY,75.16,clear sky,-34.4833,-54.3333,Beleza Pura B&B
293,Auki,SB,78.51,scattered clouds,-8.7676,160.7034,Auki Motel
295,Norman Wells,CA,34.88,overcast clouds,65.282,-126.8329,Heritage Hotel
297,Vinh,VN,64.29,overcast clouds,18.6667,105.6667,Khách Sạn Thương Mại
301,Argir,FO,43.77,broken clouds,61.9959,-6.7715,Hotel Hafnia
304,Asau,RO,61.72,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
305,Aleksandrow Kujawski,PL,46.47,overcast clouds,52.8766,18.6935,Hotel Restauracja Aquarius
306,Mayo,US,69.12,clear sky,38.8876,-76.5119,Resorts Resource Group International
307,Hirna,ET,67.57,overcast clouds,9.2167,41.1,Seid Ali
308,Bonavista,CA,46.65,few clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
309,Turukhansk,RU,36.88,light rain,65.8167,87.9833,"ООО ""Туруханская пушнина"""
311,Baglan,AF,52.11,overcast clouds,36.1307,68.7083,Habibullah MOsazai
312,Vieste,IT,67.57,overcast clouds,41.8825,16.175,Hotel Falcone
314,Lichinga,MZ,71.82,broken clouds,-13.3128,35.2406,Residencial Bendiak
315,Artyom,AZ,62.74,scattered clouds,40.4723,50.333,Merdan Respect
316,Dingle,PH,74.71,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
317,Severo-Kurilsk,RU,37.13,scattered clouds,50.6789,156.125,Kak Doma
318,Port Hawkesbury,CA,66.58,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
319,Laguna,US,60.22,moderate rain,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
320,Bergen,NO,46.83,broken clouds,60.392,5.328,Clarion Collection Hotel Havnekontoret
322,Rancho Palos Verdes,US,64.11,mist,33.7445,-118.387,Terranea Resort
323,Ponca City,US,69.62,clear sky,36.707,-97.0856,"Holiday Inn Express & Suites Ponca City, an IHG Hotel"
324,Camara De Lobos,PT,74.12,scattered clouds,32.6333,-16.9667,Golden Residence Hotel
325,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Lindsey Hôtel
326,Parchim,DE,46.6,overcast clouds,53.4263,11.8488,Hotel Stadtkrug
327,Knyaze-Volkonskoye,RU,37.74,clear sky,48.4642,135.4567,Obshchezhitiye
328,Bismarck,US,46.2,overcast clouds,46.8083,-100.7837,Ramkota Hotel & Conference Center
329,Thompson,CA,32.74,overcast clouds,55.7435,-97.8558,Burntwood Hotel
333,Honiara,SB,76.86,broken clouds,-9.4333,159.95,Heritage Park Hotel
335,Chapais,CA,33.58,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
336,Hualmay,PE,68.18,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
339,Eyl,SO,79.38,scattered clouds,7.9803,49.8164,Amiin Hotel
341,Ewa Beach,US,75.15,clear sky,21.3156,-158.0072,Uncle Junior Robert
343,Cervo,ES,60.19,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
344,Albion,US,50.18,scattered clouds,42.2431,-84.753,Days Inn by Wyndham Albion
345,Nenjiang,CN,37.45,few clouds,49.1833,125.2167,Nenjiang Apartment
346,Port Hardy,CA,46.58,broken clouds,50.6996,-127.4199,Airport Inn
349,Namibe,AO,70.74,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
352,Songea,TZ,77.86,broken clouds,-10.6833,35.65,mtakuja
353,Constantine,DZ,74.71,few clouds,36.365,6.6147,Grand Hotel Cirta
354,Puqi,CN,54.57,light rain,29.7167,113.8833,Ramada Plaza Chibi
355,Bermeo,ES,61.14,overcast clouds,43.4209,-2.7215,Eco-Hotel Mundaka
356,Banda Aceh,ID,78.39,overcast clouds,5.5577,95.3222,Sulthan Hotel International
357,Carnarvon,AU,68.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
358,Sao Gabriel,BR,75.36,clear sky,-30.3364,-54.32,Hotel Obino
360,Manaia,NZ,51.8,overcast clouds,-39.55,174.1333,Freedom Campground
362,Jiwani,PK,79.92,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
365,Vangaindrano,MG,70.57,broken clouds,-23.35,47.6,Hotel Fanilo
368,Baiyin,CN,46.18,clear sky,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
370,Valparaiso,CL,64.63,few clouds,-33.0393,-71.6273,Hotel Ultramar
