City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kahului,US,20.8947,-156.47,76.84,77,20,3.44,few clouds
1,Port Elizabeth,ZA,-33.918,25.5701,67.1,78,41,4.23,scattered clouds
2,Atuona,PF,-9.8,-139.0333,78.01,76,33,21.88,scattered clouds
3,Ginir,ET,7.1333,40.7,62.2,42,67,3.58,broken clouds
4,Kavieng,PG,-2.5744,150.7967,80.44,77,99,8.39,overcast clouds
5,Luderitz,NA,-26.6481,15.1594,60.44,76,0,11.14,clear sky
6,Bredasdorp,ZA,-34.5322,20.0403,64.27,51,100,18.12,overcast clouds
7,Vaini,TO,-21.2,-175.2,69.96,88,40,9.22,scattered clouds
8,Cherskiy,RU,68.75,161.3,-6.25,100,100,2.55,overcast clouds
9,Klaksvik,FO,62.2266,-6.589,43.72,54,81,5.44,broken clouds
10,Arraial Do Cabo,BR,-22.9661,-42.0278,69.3,67,6,8.32,clear sky
11,Yellowknife,CA,62.456,-114.3525,37.42,91,2,17.0,clear sky
12,Marsala,IT,37.7966,12.4352,72.0,76,91,15.28,overcast clouds
13,Ushuaia,AR,-54.8,-68.3,49.66,50,40,24.16,scattered clouds
14,Hasaki,JP,35.7333,140.8333,50.4,78,100,21.79,overcast clouds
15,East London,ZA,-33.0153,27.9116,66.31,78,56,9.51,broken clouds
16,Nome,US,64.5011,-165.4064,29.16,81,100,9.73,overcast clouds
17,Saint George,US,37.1041,-113.5841,71.55,54,1,0.0,clear sky
18,Punta Arenas,CL,-53.15,-70.9167,48.11,57,100,26.93,overcast clouds
19,Bandarbeyla,SO,9.4942,50.8122,79.18,74,9,10.11,clear sky
20,Vardo,NO,70.3705,31.1107,33.78,69,40,19.57,light rain
21,Rikitea,PF,-23.1203,-134.9692,73.89,81,100,24.81,light rain
22,Mataura,NZ,-46.1927,168.8643,43.97,94,99,1.95,overcast clouds
23,Lakshettipet,IN,18.8667,79.2167,72.1,64,6,3.2,clear sky
24,Busselton,AU,-33.65,115.3333,50.09,74,7,7.36,clear sky
25,Sao Filipe,CV,14.8961,-24.4956,84.16,58,2,8.9,clear sky
26,Souillac,MU,-20.5167,57.5167,75.36,73,98,7.67,light rain
27,Lukovetskiy,RU,64.2956,41.9211,31.98,99,100,4.32,snow
28,Vila Velha,BR,-20.3297,-40.2925,73.35,73,75,9.22,broken clouds
29,Tasiilaq,GL,65.6145,-37.6368,35.76,81,100,14.5,overcast clouds
30,Cape Town,ZA,-33.9258,18.4232,60.12,76,100,5.99,light rain
31,Inhambane,MZ,-23.865,35.3833,73.09,66,91,14.76,overcast clouds
32,General Pico,AR,-35.6566,-63.7568,60.28,87,100,8.81,moderate rain
33,Lagdo,CM,9.05,13.7333,87.17,52,34,5.48,scattered clouds
34,Saint Anthony,US,45.0205,-93.218,42.78,77,75,0.0,broken clouds
35,Sarangani,PH,5.4033,125.4636,82.98,73,100,6.6,light rain
36,Kutum,SD,14.2,24.6667,84.29,19,54,12.28,broken clouds
37,Mahebourg,MU,-20.4081,57.7,75.25,76,85,9.1,overcast clouds
38,Sept-Iles,CA,50.2001,-66.3821,47.05,94,90,14.0,overcast clouds
39,Bluff,NZ,-46.6,168.3333,48.42,83,95,2.37,overcast clouds
40,Ornskoldsvik,SE,63.2909,18.7153,33.62,93,90,11.5,light snow
41,Castro,BR,-24.7911,-50.0119,72.9,43,0,0.29,clear sky
42,Atasu,KZ,48.6814,71.6433,37.06,59,98,22.32,overcast clouds
43,Nambucca Heads,AU,-30.65,153.0,69.8,94,15,4.12,few clouds
44,Iracoubo,GF,5.4802,-53.2011,81.43,83,98,8.9,overcast clouds
45,Sitka,US,57.0531,-135.33,46.24,88,100,15.39,heavy intensity rain
46,Albany,US,42.6001,-73.9662,62.15,72,99,1.01,overcast clouds
47,Butaritari,KI,3.0707,172.7902,81.77,79,19,16.82,moderate rain
48,Hilo,US,19.7297,-155.09,72.28,65,35,0.89,scattered clouds
49,Kapaa,US,22.0752,-159.319,73.72,96,75,8.05,light rain
50,Ocos,GT,14.5094,-92.1933,89.31,72,54,2.93,broken clouds
51,Ilebo,CD,-4.3167,20.5833,79.74,75,95,1.83,overcast clouds
52,Katsuura,JP,35.1333,140.3,55.51,86,100,20.04,overcast clouds
53,Kaitangata,NZ,-46.2817,169.8464,44.46,95,100,2.51,overcast clouds
54,Sao Miguel,BR,-5.4667,-35.3667,88.57,57,70,15.39,broken clouds
55,Okahandja,NA,-21.9833,16.9167,81.84,6,23,19.22,few clouds
56,Sal Rei,CV,16.1833,-22.9167,81.46,68,1,14.14,clear sky
57,Victoria,HK,22.2855,114.1577,68.32,76,100,1.99,overcast clouds
58,Vasterhaninge,SE,59.1167,18.1,44.13,53,56,11.83,broken clouds
59,Barrow,US,71.2906,-156.7887,26.62,93,90,0.0,overcast clouds
60,Dalmatovo,RU,56.26,62.9362,42.15,99,100,15.75,moderate rain
61,Khatanga,RU,71.9667,102.5,-0.56,99,77,4.54,broken clouds
62,Deputatskiy,RU,69.3,139.9,-10.66,100,96,0.63,overcast clouds
63,Wawa,NG,9.9022,4.4192,90.23,49,49,2.28,scattered clouds
64,Virginia Beach,US,36.8529,-75.978,73.0,88,55,1.99,broken clouds
65,Morondava,MG,-20.2833,44.2833,73.76,70,35,11.01,scattered clouds
66,Yelizovo,RU,53.1873,158.3805,28.36,81,97,5.3,overcast clouds
67,Dikson,RU,73.5069,80.5464,18.1,80,100,12.77,overcast clouds
68,Kodiak,US,57.79,-152.4072,42.31,61,90,21.85,overcast clouds
69,Urucara,BR,-2.5364,-57.76,97.32,40,92,1.34,overcast clouds
70,Jamestown,US,42.097,-79.2353,50.09,79,90,4.0,overcast clouds
71,Port Blair,IN,11.6667,92.75,81.37,81,100,1.3,overcast clouds
72,Belmonte,BR,-15.8631,-38.8828,79.3,79,98,10.49,light rain
73,Kieta,PG,-6.2167,155.6333,77.14,85,100,4.54,overcast clouds
74,Yumen,CN,40.2833,97.2,43.9,31,3,10.54,clear sky
75,Gonbad-E Qabus,IR,37.25,55.1672,60.78,34,0,1.21,clear sky
76,Dashitou,CN,43.3067,128.5114,30.88,73,0,3.67,clear sky
77,Vao,NC,-22.6667,167.4833,72.34,80,0,4.16,clear sky
78,Port Alfred,ZA,-33.5906,26.891,65.08,80,61,8.79,broken clouds
79,Provideniya,RU,64.3833,-173.3,24.62,66,100,11.77,overcast clouds
80,Touros,BR,-5.1989,-35.4608,88.7,61,62,13.58,broken clouds
81,Fairfield,US,41.2668,-73.3162,70.3,61,1,1.99,clear sky
82,Ancud,CL,-41.8697,-73.8203,52.65,56,21,9.19,few clouds
83,Launceston,AU,-41.45,147.1667,57.15,93,75,1.01,light rain
84,Mar Del Plata,AR,-38.0023,-57.5575,59.09,90,90,1.01,light rain
85,Buzmeyin,TM,38.0507,58.2056,51.53,62,0,11.5,clear sky
86,Nova Aurora,BR,-22.8667,-52.5667,80.15,44,0,7.58,clear sky
87,Cidreira,BR,-30.1811,-50.2056,71.78,62,0,7.83,clear sky
88,Gumaus,PH,14.3103,122.7229,77.76,91,87,6.73,overcast clouds
89,Tura,IN,25.5198,90.2201,66.34,73,1,4.0,clear sky
90,Airai,TL,-8.9266,125.4092,63.0,80,82,2.3,broken clouds
91,Shelburne,CA,44.0787,-80.2041,42.57,82,89,9.48,overcast clouds
92,Qaanaaq,GL,77.484,-69.3632,-1.61,68,0,8.43,clear sky
93,Raudeberg,NO,61.9875,5.1352,45.27,80,100,4.0,overcast clouds
94,Nishihara,JP,26.1842,127.7558,72.68,60,75,17.27,broken clouds
95,Butia,BR,-30.1197,-51.9622,80.19,38,0,3.42,clear sky
96,Inuvik,CA,68.3499,-133.7218,24.89,85,98,5.19,overcast clouds
97,Pevek,RU,69.7008,170.3133,13.26,93,100,9.33,light snow
